lon,lat,lev,time,dni
1.0,32.5,9.0,2020-05-16,440.85965
1.0,32.5,9.0,2020-05-17,-85.74047
1.0,32.5,9.0,2020-05-18,811.1064
1.0,32.5,9.0,2020-05-19,808.11444
1.0,32.5,9.0,2020-05-20,396.36478
1.0,32.5,9.0,2020-05-21,801.216
1.0,32.5,9.0,2020-05-22,768.2659
1.0,32.5,9.0,2020-05-23,-117.66347
1.0,32.5,9.0,2020-05-24,-133.5168
1.0,32.5,9.0,2020-05-25,638.7376
1.0,32.5,9.0,2020-05-26,335.55206
1.0,32.5,9.0,2020-05-27,803.2356
1.0,32.5,9.0,2020-05-28,-133.54706
1.0,32.5,9.0,2020-05-29,-133.70937
1.0,32.5,9.0,2020-05-30,823.8312
1.0,32.5,9.0,2020-05-31,-133.67998
1.0,32.5,9.0,2020-06-01,219.62294
1.0,32.5,9.0,2020-06-02,-124.72988
1.0,32.5,9.0,2020-06-03,429.28275
1.0,32.5,9.0,2020-06-04,202.35918
1.0,32.5,9.0,2020-06-05,802.55927
1.0,32.5,9.0,2020-06-06,793.8629
1.0,32.5,9.0,2020-06-07,767.13403
1.0,32.5,9.0,2020-06-08,-124.99012
1.0,32.5,9.0,2020-06-09,659.1438
1.0,32.5,9.0,2020-06-10,-133.70937
1.0,32.5,9.0,2020-06-11,-133.70937
1.0,32.5,9.0,2020-06-12,-130.07744
1.0,32.5,9.0,2020-06-13,-130.02264
1.0,32.5,9.0,2020-06-14,-114.16663
1.0,32.5,9.0,2020-06-15,-133.70937
1.0,32.5,9.0,2020-06-16,-133.01192
1.0,32.5,9.0,2020-06-17,774.08514
1.0,32.5,9.0,2020-06-18,780.4337
1.0,32.5,9.0,2020-06-19,787.36566
1.0,32.5,9.0,2020-06-20,274.04153
1.0,32.5,9.0,2020-06-21,-121.15355
1.0,32.5,9.0,2020-06-22,116.83141
1.0,32.5,9.0,2020-06-23,305.34637
1.0,32.5,9.0,2020-06-24,-122.89869
1.0,32.5,9.0,2020-06-25,780.75214
1.0,32.5,9.0,2020-06-26,-76.13187
1.0,32.5,9.0,2020-06-27,-118.05707
1.0,32.5,9.0,2020-06-28,488.4866
1.0,32.5,9.0,2020-06-29,-133.70937
1.0,32.5,9.0,2020-06-30,-131.09613
1.0,32.5,9.0,2020-07-01,-131.852
1.0,32.5,9.0,2020-07-02,-133.70937
1.0,32.5,9.0,2020-07-03,311.76636
1.0,32.5,9.0,2020-07-04,78.22108
1.0,32.5,9.0,2020-07-05,766.6513
1.0,32.5,9.0,2020-07-06,-133.70937
1.0,32.5,9.0,2020-07-07,-131.0471
1.0,32.5,9.0,2020-07-08,-133.70929
1.0,32.5,9.0,2020-07-09,-100.524155
1.0,32.5,9.0,2020-07-10,214.08482
1.0,32.5,9.0,2020-07-11,-50.833595
1.0,32.5,9.0,2020-07-12,-132.4231
1.0,32.5,9.0,2020-07-13,605.9411
1.0,32.5,9.0,2020-07-14,-128.48701
1.0,32.5,9.0,2020-07-15,198.72588
1.0,32.5,9.0,2020-07-16,-47.031075
1.0,32.5,9.0,2020-07-17,313.6901
1.0,32.5,9.0,2020-07-18,-133.70937
1.0,32.5,9.0,2020-07-19,-132.8679
1.0,32.5,9.0,2020-07-20,-133.70937
1.0,32.5,9.0,2020-07-21,-109.67346
1.0,32.5,9.0,2020-07-22,87.35398
1.0,32.5,9.0,2020-07-23,-133.6655
1.0,32.5,9.0,2020-07-24,-133.1853
1.0,32.5,9.0,2020-07-25,-90.07154
1.0,32.5,9.0,2020-07-26,337.81525
1.0,32.5,9.0,2020-07-27,-101.52759
1.0,32.5,10.0,2020-04-01,831.46344
1.0,32.5,10.0,2020-04-02,833.26874
1.0,32.5,10.0,2020-04-03,829.893
1.0,32.5,10.0,2020-04-04,874.5243
1.0,32.5,10.0,2020-04-05,504.48187
1.0,32.5,10.0,2020-04-06,833.83704
1.0,32.5,10.0,2020-04-07,825.67584
1.0,32.5,10.0,2020-04-08,822.11487
1.0,32.5,10.0,2020-04-09,820.8906
1.0,32.5,10.0,2020-04-10,-178.01732
1.0,32.5,10.0,2020-04-11,829.95465
1.0,32.5,10.0,2020-04-12,759.38226
1.0,32.5,10.0,2020-04-13,848.4103
1.0,32.5,10.0,2020-04-14,-56.676517
1.0,32.5,10.0,2020-04-15,826.5378
1.0,32.5,10.0,2020-04-16,-177.80971
1.0,32.5,10.0,2020-04-17,-115.77233
1.0,32.5,10.0,2020-04-18,-178.01744
1.0,32.5,10.0,2020-04-19,382.04596
1.0,32.5,10.0,2020-04-20,841.6287
1.0,32.5,10.0,2020-04-21,853.7562
1.0,32.5,10.0,2020-04-22,837.05414
1.0,32.5,10.0,2020-04-23,859.5513
1.0,32.5,10.0,2020-04-24,823.7684
1.0,32.5,10.0,2020-04-25,836.2425
1.0,32.5,10.0,2020-04-26,846.15906
1.0,32.5,10.0,2020-04-27,837.057
1.0,32.5,10.0,2020-04-28,835.03467
1.0,32.5,10.0,2020-04-29,807.8872
1.0,32.5,10.0,2020-04-30,-160.61296
1.0,32.5,10.0,2020-05-01,-176.7812
1.0,32.5,10.0,2020-05-02,784.18933
1.0,32.5,10.0,2020-05-03,-44.096058
1.0,32.5,10.0,2020-05-04,789.1425
1.0,32.5,10.0,2020-05-05,843.4345
1.0,32.5,10.0,2020-05-06,802.33826
1.0,32.5,10.0,2020-05-07,-178.01744
1.0,32.5,10.0,2020-05-08,-178.01741
1.0,32.5,10.0,2020-05-09,811.4258
1.0,32.5,10.0,2020-05-10,823.6805
1.0,32.5,10.0,2020-05-11,829.7931
1.0,32.5,10.0,2020-05-12,782.23047
1.0,32.5,10.0,2020-05-13,-178.01588
1.0,32.5,10.0,2020-05-14,-177.84267
1.0,32.5,10.0,2020-05-15,784.2148
1.0,32.5,10.0,2020-05-16,632.5283
1.0,32.5,10.0,2020-05-17,329.62207
1.0,32.5,10.0,2020-05-18,802.6652
1.0,32.5,10.0,2020-05-19,797.3786
1.0,32.5,10.0,2020-05-20,283.20102
1.0,32.5,10.0,2020-05-21,789.5188
1.0,32.5,10.0,2020-05-22,-66.4858
1.0,32.5,10.0,2020-05-23,-172.38377
1.0,32.5,10.0,2020-05-24,-177.52124
1.0,32.5,10.0,2020-05-25,514.565
1.0,32.5,10.0,2020-05-26,31.782007
1.0,32.5,10.0,2020-05-27,791.9988
1.0,32.5,10.0,2020-05-28,-175.61276
1.0,32.5,10.0,2020-05-29,-177.98132
1.0,32.5,10.0,2020-05-30,810.33203
1.0,32.5,10.0,2020-05-31,-177.70331
1.0,32.5,10.0,2020-06-01,628.0512
1.0,32.5,10.0,2020-06-02,58.284817
1.0,32.5,10.0,2020-06-03,358.94098
1.0,32.5,10.0,2020-06-04,742.1032
1.0,32.5,10.0,2020-06-05,791.257
1.0,32.5,10.0,2020-06-06,780.59766
1.0,32.5,10.0,2020-06-07,617.9158
1.0,32.5,10.0,2020-06-08,65.457344
1.0,32.5,10.0,2020-06-09,275.4461
1.0,32.5,10.0,2020-06-10,439.70544
1.0,32.5,10.0,2020-06-11,-175.1789
1.0,32.5,10.0,2020-06-12,159.47643
1.0,32.5,10.0,2020-06-13,-139.17763
1.0,32.5,10.0,2020-06-14,-178.0105
1.0,32.5,10.0,2020-06-15,-177.98271
1.0,32.5,10.0,2020-06-16,-169.13861
1.0,32.5,10.0,2020-06-17,763.63153
1.0,32.5,10.0,2020-06-18,771.8985
1.0,32.5,10.0,2020-06-19,778.94257
1.0,32.5,10.0,2020-06-20,131.97725
1.0,32.5,10.0,2020-06-21,-104.09011
1.0,32.5,10.0,2020-06-22,186.09505
1.0,32.5,10.0,2020-06-23,777.02704
1.0,32.5,10.0,2020-06-24,-168.44005
1.0,32.5,10.0,2020-06-25,771.36145
1.0,32.5,10.0,2020-06-26,-177.93822
1.0,32.5,10.0,2020-06-27,382.10242
1.0,32.5,10.0,2020-06-28,319.5501
1.0,32.5,10.0,2020-06-29,-178.01744
1.0,32.5,10.0,2020-06-30,-170.46635
1.0,32.5,10.0,2020-07-01,-134.59593
1.0,32.5,10.0,2020-07-02,-178.0151
1.0,32.5,10.0,2020-07-03,306.19815
1.0,32.5,10.0,2020-07-04,505.16876
1.0,32.5,10.0,2020-07-05,757.51135
1.0,32.5,10.0,2020-07-06,-178.01744
1.0,32.5,10.0,2020-07-07,-177.3087
1.0,32.5,10.0,2020-07-08,-177.9776
1.0,32.5,10.0,2020-07-09,-168.74614
1.0,32.5,10.0,2020-07-10,324.4046
1.0,32.5,10.0,2020-07-11,-165.41037
1.0,32.5,10.0,2020-07-12,697.53485
1.0,32.5,10.0,2020-07-13,761.30725
1.0,32.5,10.0,2020-07-14,-53.633907
1.0,32.5,10.0,2020-07-15,-178.01411
1.0,32.5,10.0,2020-07-16,359.17175
1.0,32.5,10.0,2020-07-17,610.7467
1.0,32.5,10.0,2020-07-18,-178.01744
1.0,32.5,10.0,2020-07-19,-171.11337
1.0,32.5,10.0,2020-07-20,-22.899054
1.0,32.5,10.0,2020-07-21,-32.338947
1.0,32.5,10.0,2020-07-22,743.1119
1.0,32.5,10.0,2020-07-23,-177.86588
1.0,32.5,10.0,2020-07-24,-172.98604
1.0,32.5,10.0,2020-07-25,-147.4995
1.0,32.5,10.0,2020-07-26,164.92531
1.0,32.5,10.0,2020-07-27,-12.189931
1.0,32.5,11.0,2020-04-01,419.56903
1.0,32.5,11.0,2020-04-02,853.15356
1.0,32.5,11.0,2020-04-03,849.09937
1.0,32.5,11.0,2020-04-04,893.275
1.0,32.5,11.0,2020-04-05,178.89612
1.0,32.5,11.0,2020-04-06,851.88293
1.0,32.5,11.0,2020-04-07,844.94495
1.0,32.5,11.0,2020-04-08,840.64185
1.0,32.5,11.0,2020-04-09,841.71387
1.0,32.5,11.0,2020-04-10,-185.24089
1.0,32.5,11.0,2020-04-11,844.96277
1.0,32.5,11.0,2020-04-12,563.4132
1.0,32.5,11.0,2020-04-13,875.5547
1.0,32.5,11.0,2020-04-14,-113.18702
1.0,32.5,11.0,2020-04-15,839.9971
1.0,32.5,11.0,2020-04-16,-170.8603
1.0,32.5,11.0,2020-04-17,168.13077
1.0,32.5,11.0,2020-04-18,-185.24097
1.0,32.5,11.0,2020-04-19,825.8418
1.0,32.5,11.0,2020-04-20,858.44556
1.0,32.5,11.0,2020-04-21,866.53516
1.0,32.5,11.0,2020-04-22,853.91785
1.0,32.5,11.0,2020-04-23,871.9557
1.0,32.5,11.0,2020-04-24,839.1863
1.0,32.5,11.0,2020-04-25,850.6261
1.0,32.5,11.0,2020-04-26,857.6008
1.0,32.5,11.0,2020-04-27,852.00195
1.0,32.5,11.0,2020-04-28,849.9193
1.0,32.5,11.0,2020-04-29,806.144
1.0,32.5,11.0,2020-04-30,-100.501625
1.0,32.5,11.0,2020-05-01,-184.92688
1.0,32.5,11.0,2020-05-02,798.3463
1.0,32.5,11.0,2020-05-03,-74.49694
1.0,32.5,11.0,2020-05-04,814.25543
1.0,32.5,11.0,2020-05-05,855.4009
1.0,32.5,11.0,2020-05-06,257.42374
1.0,32.5,11.0,2020-05-07,-185.23982
1.0,32.5,11.0,2020-05-08,-184.62138
1.0,32.5,11.0,2020-05-09,826.7759
1.0,32.5,11.0,2020-05-10,831.8393
1.0,32.5,11.0,2020-05-11,841.7041
1.0,32.5,11.0,2020-05-12,832.0527
1.0,32.5,11.0,2020-05-13,-185.24097
1.0,32.5,11.0,2020-05-14,-184.79712
1.0,32.5,11.0,2020-05-15,808.51447
1.0,32.5,11.0,2020-05-16,32.643505
1.0,32.5,11.0,2020-05-17,701.238
1.0,32.5,11.0,2020-05-18,815.6854
1.0,32.5,11.0,2020-05-19,807.94244
1.0,32.5,11.0,2020-05-20,618.72925
1.0,32.5,11.0,2020-05-21,800.16956
1.0,32.5,11.0,2020-05-22,-112.56857
1.0,32.5,11.0,2020-05-23,-183.4795
1.0,32.5,11.0,2020-05-24,328.5705
1.0,32.5,11.0,2020-05-25,656.26746
1.0,32.5,11.0,2020-05-26,182.90778
1.0,32.5,11.0,2020-05-27,802.4365
1.0,32.5,11.0,2020-05-28,-182.95964
1.0,32.5,11.0,2020-05-29,-185.24097
1.0,32.5,11.0,2020-05-30,816.72516
1.0,32.5,11.0,2020-05-31,-185.11618
1.0,32.5,11.0,2020-06-01,777.42706
1.0,32.5,11.0,2020-06-02,359.25702
1.0,32.5,11.0,2020-06-03,398.3299
1.0,32.5,11.0,2020-06-04,793.08844
1.0,32.5,11.0,2020-06-05,802.22797
1.0,32.5,11.0,2020-06-06,791.6178
1.0,32.5,11.0,2020-06-07,769.7127
1.0,32.5,11.0,2020-06-08,-182.417
1.0,32.5,11.0,2020-06-09,-93.022064
1.0,32.5,11.0,2020-06-10,-155.59724
1.0,32.5,11.0,2020-06-11,-172.65941
1.0,32.5,11.0,2020-06-12,156.34317
1.0,32.5,11.0,2020-06-13,612.4529
1.0,32.5,11.0,2020-06-14,-185.23991
1.0,32.5,11.0,2020-06-15,-185.24097
1.0,32.5,11.0,2020-06-16,-112.67466
1.0,32.5,11.0,2020-06-17,768.5312
1.0,32.5,11.0,2020-06-18,786.4881
1.0,32.5,11.0,2020-06-19,794.7597
1.0,32.5,11.0,2020-06-20,470.2525
1.0,32.5,11.0,2020-06-21,-93.73436
1.0,32.5,11.0,2020-06-22,-181.25293
1.0,32.5,11.0,2020-06-23,787.8482
1.0,32.5,11.0,2020-06-24,-184.08482
1.0,32.5,11.0,2020-06-25,784.5555
1.0,32.5,11.0,2020-06-26,-185.23961
1.0,32.5,11.0,2020-06-27,504.65973
1.0,32.5,11.0,2020-06-28,-58.24336
1.0,32.5,11.0,2020-06-29,-185.17126
1.0,32.5,11.0,2020-06-30,0.41979712
1.0,32.5,11.0,2020-07-01,-114.66432
1.0,32.5,11.0,2020-07-02,-185.24089
1.0,32.5,11.0,2020-07-03,571.2503
1.0,32.5,11.0,2020-07-04,365.2885
1.0,32.5,11.0,2020-07-05,769.54816
1.0,32.5,11.0,2020-07-06,-181.36375
1.0,32.5,11.0,2020-07-07,-181.90442
1.0,32.5,11.0,2020-07-08,-141.75446
1.0,32.5,11.0,2020-07-09,-94.164856
1.0,32.5,11.0,2020-07-10,0.6316654
1.0,32.5,11.0,2020-07-11,-155.27275
1.0,32.5,11.0,2020-07-12,767.52106
1.0,32.5,11.0,2020-07-13,775.18585
1.0,32.5,11.0,2020-07-14,687.71246
1.0,32.5,11.0,2020-07-15,-120.53517
1.0,32.5,11.0,2020-07-16,154.17688
1.0,32.5,11.0,2020-07-17,262.00552
1.0,32.5,11.0,2020-07-18,-185.24097
1.0,32.5,11.0,2020-07-19,-185.08388
1.0,32.5,11.0,2020-07-20,-21.353258
1.0,32.5,11.0,2020-07-21,55.41963
1.0,32.5,11.0,2020-07-22,724.05945
1.0,32.5,11.0,2020-07-23,-177.98053
1.0,32.5,11.0,2020-07-24,-139.12932
1.0,32.5,11.0,2020-07-25,-91.528175
1.0,32.5,11.0,2020-07-26,-35.922886
1.0,32.5,11.0,2020-07-27,-149.57265
