lon,lat,lev,time,pe
1.0,32.5,9.0,2020-06-24,0.44837546
1.0,32.5,9.0,2020-06-25,0.42888087
1.0,32.5,9.0,2020-06-26,0.093140796
1.0,32.5,9.0,2020-06-27,0.19061372
1.0,32.5,9.0,2020-06-28,0.22238268
1.0,32.5,9.0,2020-06-29,0.093140796
1.0,32.5,9.0,2020-06-30,0.10974729
1.0,32.5,9.0,2020-07-01,0.18916968
1.0,32.5,9.0,2020-07-02,0.12779783
1.0,32.5,9.0,2020-07-03,0.46353793
1.0,32.5,9.0,2020-07-04,0.43104693
1.0,32.5,9.0,2020-07-05,0.2931408
1.0,32.5,9.0,2020-07-06,0.14729242
1.0,32.5,9.0,2020-07-07,0.26714802
1.0,32.5,9.0,2020-07-08,0.0635379
1.0,32.5,9.0,2020-07-09,0.020216605
1.0,32.5,9.0,2020-07-10,0.24043322
1.0,32.5,9.0,2020-07-11,0.21155235
1.0,32.5,9.0,2020-07-12,0.2808664
1.0,32.5,9.0,2020-07-13,0.30541515
1.0,32.5,9.0,2020-07-14,0.13935019
1.0,32.5,9.0,2020-07-15,0.067870036
1.0,32.5,9.0,2020-07-16,0.2036101
1.0,32.5,9.0,2020-07-17,0.31119135
1.0,32.5,9.0,2020-07-18,0.081588455
1.0,32.5,9.0,2020-07-19,0.026714802
1.0,32.5,9.0,2020-07-20,0.080144405
1.0,32.5,9.0,2020-07-21,0.12057761
1.0,32.5,9.0,2020-07-22,0.4267148
1.0,32.5,9.0,2020-07-23,0.21877256
1.0,32.5,9.0,2020-07-24,0.26064983
1.0,32.5,9.0,2020-07-25,0.2801444
1.0,32.5,9.0,2020-07-26,0.20794225
1.0,32.5,9.0,2020-07-27,0.32924187
1.0,32.5,10.0,2020-04-01,0.5350181
1.0,32.5,10.0,2020-04-02,0.7075812
1.0,32.5,10.0,2020-04-03,0.70685923
1.0,32.5,10.0,2020-04-04,0.77328515
1.0,32.5,10.0,2020-04-05,0.72346574
1.0,32.5,10.0,2020-04-06,0.69169676
1.0,32.5,10.0,2020-04-07,0.6635379
1.0,32.5,10.0,2020-04-08,0.68303245
1.0,32.5,10.0,2020-04-09,0.5927798
1.0,32.5,10.0,2020-04-10,0.1400722
1.0,32.5,10.0,2020-04-11,0.26209387
1.0,32.5,10.0,2020-04-12,0.7833935
1.0,32.5,10.0,2020-04-13,0.7610109
1.0,32.5,10.0,2020-04-14,0.5566787
1.0,32.5,10.0,2020-04-15,0.735018
1.0,32.5,10.0,2020-04-16,0.037545126
1.0,32.5,10.0,2020-04-17,0.3429603
1.0,32.5,10.0,2020-04-18,0.067148015
1.0,32.5,10.0,2020-04-19,0.6036101
1.0,32.5,10.0,2020-04-20,0.7783393
1.0,32.5,10.0,2020-04-21,0.7783393
1.0,32.5,10.0,2020-04-22,0.666426
1.0,32.5,10.0,2020-04-23,0.75306857
1.0,32.5,10.0,2020-04-24,0.69530684
1.0,32.5,10.0,2020-04-25,0.7444043
1.0,32.5,10.0,2020-04-26,0.75090253
1.0,32.5,10.0,2020-04-27,0.72635376
1.0,32.5,10.0,2020-04-28,0.70469314
1.0,32.5,10.0,2020-04-29,0.71913356
1.0,32.5,10.0,2020-04-30,0.24404332
1.0,32.5,10.0,2020-05-01,0.2129964
1.0,32.5,10.0,2020-05-02,0.6960289
1.0,32.5,10.0,2020-05-03,0.4924188
1.0,32.5,10.0,2020-05-04,0.7155234
1.0,32.5,10.0,2020-05-05,0.7559567
1.0,32.5,10.0,2020-05-06,0.71119136
1.0,32.5,10.0,2020-05-07,0.051263537
1.0,32.5,10.0,2020-05-08,0.18555956
1.0,32.5,10.0,2020-05-09,0.72851986
1.0,32.5,10.0,2020-05-10,0.7126354
1.0,32.5,10.0,2020-05-11,0.7299639
1.0,32.5,10.0,2020-05-12,0.5061372
1.0,32.5,10.0,2020-05-13,0.024548735
1.0,32.5,10.0,2020-05-14,0.22238268
1.0,32.5,10.0,2020-05-15,0.56534296
1.0,32.5,10.0,2020-05-16,0.22888087
1.0,32.5,10.0,2020-05-17,0.13285199
1.0,32.5,10.0,2020-05-18,0.5176895
1.0,32.5,10.0,2020-05-19,0.7126354
1.0,32.5,10.0,2020-05-20,0.6418773
1.0,32.5,10.0,2020-05-21,0.21516246
1.0,32.5,10.0,2020-05-22,0.29458484
1.0,32.5,10.0,2020-05-23,0.3761733
1.0,32.5,10.0,2020-05-24,0.16028881
1.0,32.5,10.0,2020-05-25,0.6794224
1.0,32.5,10.0,2020-05-26,0.6924188
1.0,32.5,10.0,2020-05-27,0.58483756
1.0,32.5,10.0,2020-05-28,0.3400722
1.0,32.5,10.0,2020-05-29,0.2895307
1.0,32.5,10.0,2020-05-30,0.666426
1.0,32.5,10.0,2020-05-31,0.13285199
1.0,32.5,10.0,2020-06-01,0.64693135
1.0,32.5,10.0,2020-06-02,0.51696754
1.0,32.5,10.0,2020-06-03,0.60216606
1.0,32.5,10.0,2020-06-04,0.6440433
1.0,32.5,10.0,2020-06-05,0.66787004
1.0,32.5,10.0,2020-06-06,0.6642599
1.0,32.5,10.0,2020-06-07,0.6844765
1.0,32.5,10.0,2020-06-08,0.25342962
1.0,32.5,10.0,2020-06-09,0.19350182
1.0,32.5,10.0,2020-06-10,0.09891696
1.0,32.5,10.0,2020-06-11,0.25776172
1.0,32.5,10.0,2020-06-12,0.5465704
1.0,32.5,10.0,2020-06-13,0.62454873
1.0,32.5,10.0,2020-06-14,0.332852
1.0,32.5,10.0,2020-06-15,0.04765343
1.0,32.5,10.0,2020-06-16,0.6505415
1.0,32.5,10.0,2020-06-17,0.64115524
1.0,32.5,10.0,2020-06-18,0.62671477
1.0,32.5,10.0,2020-06-19,0.600722
1.0,32.5,10.0,2020-06-20,0.66281587
1.0,32.5,10.0,2020-06-21,0.038267147
1.0,32.5,10.0,2020-06-22,0.20216607
1.0,32.5,10.0,2020-06-23,0.66281587
1.0,32.5,10.0,2020-06-24,0.42888087
1.0,32.5,10.0,2020-06-25,0.3638989
1.0,32.5,10.0,2020-06-26,0.06498195
1.0,32.5,10.0,2020-06-27,0.25631768
1.0,32.5,10.0,2020-06-28,0.35812274
1.0,32.5,10.0,2020-06-29,0.21155235
1.0,32.5,10.0,2020-06-30,0.14873646
1.0,32.5,10.0,2020-07-01,0.17111912
1.0,32.5,10.0,2020-07-02,0.07581227
1.0,32.5,10.0,2020-07-03,0.5537906
1.0,32.5,10.0,2020-07-04,0.50252706
1.0,32.5,10.0,2020-07-05,0.2469314
1.0,32.5,10.0,2020-07-06,0.1870036
1.0,32.5,10.0,2020-07-07,0.31552348
1.0,32.5,10.0,2020-07-08,0.054151624
1.0,32.5,10.0,2020-07-09,0.038267147
1.0,32.5,10.0,2020-07-10,0.21949458
1.0,32.5,10.0,2020-07-11,0.3624549
1.0,32.5,10.0,2020-07-12,0.42527074
