lon,lat,lev,time,dni
1.0,32.5,10.0,2020-05-07,0.33332723
1.0,32.5,10.0,2020-05-08,5.555808
1.0,32.5,10.0,2020-05-09,781.86096
1.0,32.5,10.0,2020-05-10,843.61127
1.0,32.5,10.0,2020-05-11,890.9723
1.0,32.5,10.0,2020-05-12,452.3819
1.0,32.5,10.0,2020-05-13,0.88887256
1.0,32.5,10.0,2020-05-14,52.277767
1.0,32.5,10.0,2020-05-15,160.2032
1.0,32.5,10.0,2020-05-16,206.04205
1.0,32.5,10.0,2020-05-17,4.473743
1.0,32.5,10.0,2020-05-18,725.6762
1.0,32.5,10.0,2020-05-19,619.98114
1.0,32.5,10.0,2020-05-20,616.71094
1.0,32.5,10.0,2020-05-21,10.666981
1.0,32.5,10.0,2020-05-22,38.327557
1.0,32.5,10.0,2020-05-23,96.62448
1.0,32.5,10.0,2020-05-24,10.028046
1.0,32.5,10.0,2020-05-25,692.09906
1.0,32.5,10.0,2020-05-26,510.97153
1.0,32.5,10.0,2020-05-27,451.806
1.0,32.5,10.0,2020-05-28,112.08102
1.0,32.5,10.0,2020-05-29,16.391273
1.0,32.5,10.0,2020-05-30,737.6388
1.0,32.5,10.0,2020-05-31,40.331608
1.0,32.5,10.0,2020-06-01,602.13916
1.0,32.5,10.0,2020-06-02,273.8118
1.0,32.5,10.0,2020-06-03,388.31708
1.0,32.5,10.0,2020-06-04,538.9716
1.0,32.5,10.0,2020-06-05,713.9464
1.0,32.5,10.0,2020-06-06,722.38947
1.0,32.5,10.0,2020-06-07,797.33307
1.0,32.5,10.0,2020-06-08,54.61328
1.0,32.5,10.0,2020-06-09,39.02928
1.0,32.5,10.0,2020-06-10,8.555171
1.0,32.5,10.0,2020-06-11,25.285992
1.0,32.5,10.0,2020-06-12,371.59753
1.0,32.5,10.0,2020-06-13,457.40768
1.0,32.5,10.0,2020-06-14,115.757324
1.0,32.5,10.0,2020-06-15,0.0
1.0,32.5,10.0,2020-06-16,347.76572
1.0,32.5,10.0,2020-06-17,630.3616
1.0,32.5,10.0,2020-06-18,736.22394
1.0,32.5,10.0,2020-06-19,826.52856
1.0,32.5,10.0,2020-06-20,844.8331
1.0,32.5,10.0,2020-06-21,0.0
1.0,32.5,10.0,2020-06-22,3.0825067
1.0,32.5,10.0,2020-06-23,736.806
1.0,32.5,10.0,2020-06-24,265.1663
1.0,32.5,10.0,2020-06-25,91.03211
1.0,32.5,10.0,2020-06-26,0.0
1.0,32.5,10.0,2020-06-27,13.804023
1.0,32.5,10.0,2020-06-28,70.223785
1.0,32.5,10.0,2020-06-29,4.3047853
1.0,32.5,10.0,2020-06-30,1.0558507
1.0,32.5,10.0,2020-07-01,61.383614
1.0,32.5,10.0,2020-07-02,4.138298
1.0,32.5,10.0,2020-07-03,645.6399
1.0,32.5,10.0,2020-07-04,407.0666
1.0,32.5,10.0,2020-07-05,21.976551
1.0,32.5,10.0,2020-07-06,12.777045
1.0,32.5,10.0,2020-07-07,53.94142
1.0,32.5,10.0,2020-07-08,0.0
1.0,32.5,10.0,2020-07-09,2.8895173
1.0,32.5,10.0,2020-07-10,95.96241
1.0,32.5,10.0,2020-07-11,42.38885
1.0,32.5,10.0,2020-07-12,155.9449
1.0,32.5,10.0,2020-07-13,150.93864
1.0,32.5,10.0,2020-07-14,15.414849
1.0,32.5,10.0,2020-07-15,1.5273104
1.0,32.5,10.0,2020-07-16,131.39983
1.0,32.5,10.0,2020-07-17,73.10725
1.0,32.5,10.0,2020-07-18,0.2777631
1.0,32.5,10.0,2020-07-19,0.0
1.0,32.5,10.0,2020-07-20,0.0
1.0,32.5,10.0,2020-07-21,91.95583
1.0,32.5,10.0,2020-07-22,467.55508
1.0,32.5,10.0,2020-07-23,46.026463
1.0,32.5,10.0,2020-07-24,33.306206
1.0,32.5,10.0,2020-07-25,25.446035
1.0,32.5,10.0,2020-07-26,140.28575
1.0,32.5,10.0,2020-07-27,322.8861
1.0,32.5,11.0,2020-04-01,386.78336
1.0,32.5,11.0,2020-04-02,652.08325
1.0,32.5,11.0,2020-04-03,776.9155
1.0,32.5,11.0,2020-04-04,928.19446
1.0,32.5,11.0,2020-04-05,755.0657
1.0,32.5,11.0,2020-04-06,645.75116
1.0,32.5,11.0,2020-04-07,638.7486
1.0,32.5,11.0,2020-04-08,561.22125
1.0,32.5,11.0,2020-04-09,364.84006
1.0,32.5,11.0,2020-04-10,12.610988
1.0,32.5,11.0,2020-04-11,235.09235
1.0,32.5,11.0,2020-04-12,773.05597
1.0,32.5,11.0,2020-04-13,873.19434
1.0,32.5,11.0,2020-04-14,458.19376
1.0,32.5,11.0,2020-04-15,619.3659
1.0,32.5,11.0,2020-04-16,4.9412966
1.0,32.5,11.0,2020-04-17,120.10574
1.0,32.5,11.0,2020-04-18,1.1664871
1.0,32.5,11.0,2020-04-19,302.59988
1.0,32.5,11.0,2020-04-20,870.08307
1.0,32.5,11.0,2020-04-21,879.8329
1.0,32.5,11.0,2020-04-22,870.66656
1.0,32.5,11.0,2020-04-23,945.77795
1.0,32.5,11.0,2020-04-24,793.38824
1.0,32.5,11.0,2020-04-25,906.3055
1.0,32.5,11.0,2020-04-26,826.0276
1.0,32.5,11.0,2020-04-27,820.7501
1.0,32.5,11.0,2020-04-28,814.69446
1.0,32.5,11.0,2020-04-29,545.66187
1.0,32.5,11.0,2020-04-30,8.583302
1.0,32.5,11.0,2020-05-01,26.5277
1.0,32.5,11.0,2020-05-02,531.4829
1.0,32.5,11.0,2020-05-03,306.60785
1.0,32.5,11.0,2020-05-04,713.96985
1.0,32.5,11.0,2020-05-05,896.6944
1.0,32.5,11.0,2020-05-06,311.16876
1.0,32.5,11.0,2020-05-07,0.0
1.0,32.5,11.0,2020-05-08,2.6949275
1.0,32.5,11.0,2020-05-09,818.66656
1.0,32.5,11.0,2020-05-10,859.9728
1.0,32.5,11.0,2020-05-11,919.86115
1.0,32.5,11.0,2020-05-12,353.0079
1.0,32.5,11.0,2020-05-13,0.0
1.0,32.5,11.0,2020-05-14,56.752655
1.0,32.5,11.0,2020-05-15,495.69708
1.0,32.5,11.0,2020-05-16,132.17876
1.0,32.5,11.0,2020-05-17,4.696104
1.0,32.5,11.0,2020-05-18,838.5558
1.0,32.5,11.0,2020-05-19,619.14044
1.0,32.5,11.0,2020-05-20,558.3694
1.0,32.5,11.0,2020-05-21,24.141754
1.0,32.5,11.0,2020-05-22,17.309103
1.0,32.5,11.0,2020-05-23,129.37372
1.0,32.5,11.0,2020-05-24,95.99369
1.0,32.5,11.0,2020-05-25,525.9452
1.0,32.5,11.0,2020-05-26,608.19366
1.0,32.5,11.0,2020-05-27,407.44208
1.0,32.5,11.0,2020-05-28,125.8332
1.0,32.5,11.0,2020-05-29,17.915846
1.0,32.5,11.0,2020-05-30,28.084692
1.0,32.5,11.0,2020-05-31,41.002335
1.0,32.5,11.0,2020-06-01,532.7732
1.0,32.5,11.0,2020-06-02,230.01701
1.0,32.5,11.0,2020-06-03,487.05685
1.0,32.5,11.0,2020-06-04,581.30524
1.0,32.5,11.0,2020-06-05,761.2518
1.0,32.5,11.0,2020-06-06,756.38934
1.0,32.5,11.0,2020-06-07,455.88956
1.0,32.5,11.0,2020-06-08,122.58468
1.0,32.5,11.0,2020-06-09,44.235794
1.0,32.5,11.0,2020-06-10,19.193981
1.0,32.5,11.0,2020-06-11,18.863167
1.0,32.5,11.0,2020-06-12,878.44415
1.0,32.5,11.0,2020-06-13,433.19202
1.0,32.5,11.0,2020-06-14,32.052517
1.0,32.5,11.0,2020-06-15,2.861054
1.0,32.5,11.0,2020-06-16,704.6304
1.0,32.5,11.0,2020-06-17,574.94684
1.0,32.5,11.0,2020-06-18,776.5292
1.0,32.5,11.0,2020-06-19,853.83405
1.0,32.5,11.0,2020-06-20,435.27216
1.0,32.5,11.0,2020-06-21,13.224213
1.0,32.5,11.0,2020-06-22,39.222828
1.0,32.5,11.0,2020-06-23,767.55615
1.0,32.5,11.0,2020-06-24,99.30783
1.0,32.5,11.0,2020-06-25,280.81802
1.0,32.5,11.0,2020-06-26,1.194645
1.0,32.5,11.0,2020-06-27,6.7500577
1.0,32.5,11.0,2020-06-28,318.6893
1.0,32.5,11.0,2020-06-29,10.91687
1.0,32.5,11.0,2020-06-30,41.886696
1.0,32.5,11.0,2020-07-01,121.33379
1.0,32.5,11.0,2020-07-02,12.388702
1.0,32.5,11.0,2020-07-03,444.91623
1.0,32.5,11.0,2020-07-04,376.0089
1.0,32.5,11.0,2020-07-05,9.055312
1.0,32.5,11.0,2020-07-06,3.444022
1.0,32.5,11.0,2020-07-07,263.0522
1.0,32.5,11.0,2020-07-08,9.666973
1.0,32.5,11.0,2020-07-09,4.1941385
1.0,32.5,11.0,2020-07-10,13.250248
1.0,32.5,11.0,2020-07-11,54.22946
1.0,32.5,11.0,2020-07-12,30.696316
1.0,32.5,11.0,2020-07-13,77.66252
1.0,32.5,11.0,2020-07-14,35.974903
1.0,32.5,11.0,2020-07-15,42.832108
1.0,32.5,11.0,2020-07-16,37.27479
1.0,32.5,11.0,2020-07-17,45.825043
1.0,32.5,11.0,2020-07-18,7.666758
1.0,32.5,11.0,2020-07-19,8.694607
1.0,32.5,11.0,2020-07-20,0.0
1.0,32.5,11.0,2020-07-21,140.25299
1.0,32.5,11.0,2020-07-22,620.3421
1.0,32.5,11.0,2020-07-23,114.19574
1.0,32.5,11.0,2020-07-24,72.41789
1.0,32.5,11.0,2020-07-25,118.44183
1.0,32.5,11.0,2020-07-26,280.47232
1.0,32.5,11.0,2020-07-27,294.639
1.0,32.5,12.0,2020-04-01,454.09793
1.0,32.5,12.0,2020-04-02,754.6114
1.0,32.5,12.0,2020-04-03,817.0263
1.0,32.5,12.0,2020-04-04,929.00006
1.0,32.5,12.0,2020-04-05,769.76776
1.0,32.5,12.0,2020-04-06,700.6399
1.0,32.5,12.0,2020-04-07,540.6376
1.0,32.5,12.0,2020-04-08,588.50006
1.0,32.5,12.0,2020-04-09,585.6766
1.0,32.5,12.0,2020-04-10,19.193998
1.0,32.5,12.0,2020-04-11,622.3322
1.0,32.5,12.0,2020-04-12,388.5964
1.0,32.5,12.0,2020-04-13,882.0271
1.0,32.5,12.0,2020-04-14,482.22308
1.0,32.5,12.0,2020-04-15,854.7778
1.0,32.5,12.0,2020-04-16,276.36108
1.0,32.5,12.0,2020-04-17,138.1165
1.0,32.5,12.0,2020-04-18,0.0
1.0,32.5,12.0,2020-04-19,607.1948
1.0,32.5,12.0,2020-04-20,877.194
1.0,32.5,12.0,2020-04-21,867.10986
1.0,32.5,12.0,2020-04-22,909.88873
1.0,32.5,12.0,2020-04-23,934.278
1.0,32.5,12.0,2020-04-24,799.7777
1.0,32.5,12.0,2020-04-25,882.22174
1.0,32.5,12.0,2020-04-26,823.333
1.0,32.5,12.0,2020-04-27,826.91656
1.0,32.5,12.0,2020-04-28,858.778
1.0,32.5,12.0,2020-04-29,832.16644
1.0,32.5,12.0,2020-04-30,15.472531
1.0,32.5,12.0,2020-05-01,13.526151
1.0,32.5,12.0,2020-05-02,660.1556
1.0,32.5,12.0,2020-05-03,31.0
1.0,32.5,12.0,2020-05-04,837.8888
1.0,32.5,12.0,2020-05-05,929.0832
1.0,32.5,12.0,2020-05-06,434.927
1.0,32.5,12.0,2020-05-07,0.0
1.0,32.5,12.0,2020-05-08,10.667172
1.0,32.5,12.0,2020-05-09,804.195
1.0,32.5,12.0,2020-05-10,794.9458
1.0,32.5,12.0,2020-05-11,921.16675
1.0,32.5,12.0,2020-05-12,137.94342
1.0,32.5,12.0,2020-05-13,4.137828
1.0,32.5,12.0,2020-05-14,54.416927
1.0,32.5,12.0,2020-05-15,577.6204
1.0,32.5,12.0,2020-05-16,403.82205
1.0,32.5,12.0,2020-05-17,97.89841
1.0,32.5,12.0,2020-05-18,870.778
1.0,32.5,12.0,2020-05-19,640.2119
1.0,32.5,12.0,2020-05-20,769.9726
1.0,32.5,12.0,2020-05-21,18.695654
1.0,32.5,12.0,2020-05-22,3.5569282
1.0,32.5,12.0,2020-05-23,90.30085
1.0,32.5,12.0,2020-05-24,383.87442
1.0,32.5,12.0,2020-05-25,532.66064
1.0,32.5,12.0,2020-05-26,745.1656
1.0,32.5,12.0,2020-05-27,424.33475
1.0,32.5,12.0,2020-05-28,59.49959
1.0,32.5,12.0,2020-05-29,14.5834255
1.0,32.5,12.0,2020-05-30,451.52103
1.0,32.5,12.0,2020-05-31,41.49992
1.0,32.5,12.0,2020-06-01,726.4165
1.0,32.5,12.0,2020-06-02,292.78134
1.0,32.5,12.0,2020-06-03,411.55637
1.0,32.5,12.0,2020-06-04,598.94495
1.0,32.5,12.0,2020-06-05,849.13934
1.0,32.5,12.0,2020-06-06,832.9178
1.0,32.5,12.0,2020-06-07,170.77124
1.0,32.5,12.0,2020-06-08,85.74769
1.0,32.5,12.0,2020-06-09,98.583984
1.0,32.5,12.0,2020-06-10,16.944473
1.0,32.5,12.0,2020-06-11,0.0
1.0,32.5,12.0,2020-06-12,906.22217
1.0,32.5,12.0,2020-06-13,839.3609
1.0,32.5,12.0,2020-06-14,30.025835
1.0,32.5,12.0,2020-06-15,16.83426
1.0,32.5,12.0,2020-06-16,388.67102
1.0,32.5,12.0,2020-06-17,331.7602
1.0,32.5,12.0,2020-06-18,825.05634
1.0,32.5,12.0,2020-06-19,850.0289
1.0,32.5,12.0,2020-06-20,740.28186
1.0,32.5,12.0,2020-06-21,4.80512
1.0,32.5,12.0,2020-06-22,15.611998
1.0,32.5,12.0,2020-06-23,837.8614
1.0,32.5,12.0,2020-06-24,306.38943
1.0,32.5,12.0,2020-06-25,308.92062
1.0,32.5,12.0,2020-06-26,12.055852
1.0,32.5,12.0,2020-06-27,23.420326
1.0,32.5,12.0,2020-06-28,215.94221
1.0,32.5,12.0,2020-06-29,12.223058
1.0,32.5,12.0,2020-06-30,8.05529
