지점,1시간평균 미세먼지농도(㎍/㎥)
156.0,24.133333333333333
156.0,23.4
156.0,22.666666666666664
156.0,21.933333333333334
156.0,21.2
156.0,20.466666666666665
156.0,19.73333333333333
156.0,19.0
156.0,23.0
156.0,28.0
156.0,28.0
156.0,48.0
156.0,60.0
156.0,52.0
156.0,37.0
156.0,40.0
156.0,45.0
156.0,36.0
156.0,46.0
156.0,48.0
156.0,44.0
156.0,39.0
156.0,42.0
156.0,38.0
156.0,38.0
156.0,43.0
156.0,43.0
156.0,47.0
156.0,48.0
156.0,42.0
156.0,48.0
156.0,46.0
156.0,51.0
156.0,53.0
156.0,51.0
156.0,62.0
156.0,57.0
156.0,41.0
156.0,54.0
156.0,59.0
156.0,55.0
156.0,60.0
156.0,60.0
156.0,59.0
156.0,57.0
156.0,54.0
156.0,76.0
156.0,64.0
156.0,51.0
156.0,54.0
156.0,54.0
156.0,49.0
156.0,50.0
156.0,40.0
156.0,40.0
156.0,48.0
156.0,54.0
156.0,48.0
156.0,52.0
156.0,48.0
156.0,47.0
156.0,45.0
156.0,46.0
156.0,46.0
156.0,45.0
156.0,55.0
156.0,72.0
156.0,66.0
156.0,64.0
156.0,60.0
156.0,58.0
156.0,62.0
156.0,62.0
156.0,62.0
156.0,57.0
156.0,66.0
156.0,31.0
156.0,31.0
156.0,22.0
156.0,25.0
156.0,37.0
156.0,45.0
156.0,48.0
156.0,45.0
156.0,43.0
156.0,39.0
156.0,32.0
156.0,39.0
156.0,30.0
156.0,42.0
156.0,52.0
156.0,43.0
156.0,42.0
156.0,45.0
156.0,45.0
156.0,44.0
156.0,34.0
156.0,31.0
156.0,34.0
156.0,37.0
156.0,38.0
156.0,38.0
156.0,27.0
156.0,32.0
156.0,33.0
156.0,37.0
156.0,40.0
156.0,34.0
156.0,42.0
156.0,46.0
156.0,45.0
156.0,50.0
156.0,53.0
156.0,59.0
156.0,64.0
156.0,66.0
156.0,54.0
156.0,50.0
156.0,60.0
156.0,46.0
156.0,41.0
156.0,47.0
156.0,54.0
156.0,57.0
156.0,45.0
156.0,42.0
156.0,37.0
156.0,33.0
156.0,36.0
156.0,41.0
156.0,46.0
156.0,42.0
156.0,43.0
156.0,41.0
156.0,43.0
156.0,37.0
156.0,39.0
156.0,51.0
156.0,55.0
156.0,63.0
156.0,59.0
156.0,53.0
156.0,60.0
156.0,42.0
156.0,46.0
156.0,54.0
156.0,35.0
156.0,30.0
156.0,33.0
156.0,34.0
156.0,39.0
156.0,44.0
156.0,48.0
156.0,44.0
156.0,37.0
156.0,38.0
156.0,37.0
156.0,26.0
156.0,24.0
156.0,32.0
156.0,30.0
156.0,33.0
156.0,42.0
156.0,37.0
156.0,31.0
156.0,28.0
156.0,25.0
156.0,30.0
156.0,31.0
156.0,42.0
156.0,48.0
156.0,54.0
156.0,58.0
156.0,68.0
156.0,69.0
156.0,67.0
156.0,78.0
156.0,78.0
156.0,60.0
156.0,57.0
156.0,53.0
156.0,46.0
156.0,28.0
156.0,37.0
156.0,33.0
156.0,43.0
156.0,38.0
156.0,37.0
156.0,56.0
156.0,53.0
156.0,49.0
156.0,47.0
156.0,49.0
156.0,47.0
156.0,50.0
156.0,45.0
156.0,54.0
156.0,47.0
156.0,57.0
156.0,42.0
156.0,45.0
156.0,57.0
156.0,53.0
156.0,55.0
156.0,66.0
156.0,47.0
156.0,46.0
156.0,48.0
156.0,55.0
156.0,52.0
156.0,69.0
156.0,69.0
156.0,62.0
156.0,62.8
156.0,63.6
156.0,64.4
156.0,65.2
156.0,66.0
156.0,73.0
156.0,79.0
156.0,72.0
156.0,72.0
156.0,40.0
156.0,49.0
156.0,50.0
156.0,57.0
156.0,58.0
156.0,55.0
156.0,54.0
156.0,39.0
156.0,27.0
156.0,25.0
156.0,22.0
156.0,25.0
156.0,19.0
156.0,6.0
156.0,6.0
156.0,3.0
156.0,5.0
156.0,6.0
156.0,7.0
156.0,9.0
156.0,11.0
156.0,14.0
156.0,11.0
156.0,14.0
156.0,17.0
