features,mae,mse,rmse,r2
"['Prec(mm)', 'Humidity', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",745007.2025344912,1211817199141.6194,1100825.6897173228,0.8905376191186934
"['Prec(mm)', 'Humidity', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",606208.3236999682,857251644343.9875,925878.8497119845,0.9225652135728256
"['Prec(mm)', 'Humidity', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",698151.8286377838,1110757737172.2305,1053924.9200831293,0.8996662313595405
"['Prec(mm)', 'Humidity', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",630467.3976898503,1002815688154.5363,1001406.8544575358,0.9094165416299781
"['Prec(mm)', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",716290.7321496865,1165724779592.8289,1079687.3527057862,0.8947011068031103
"['Prec(mm)', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",693016.2629674698,1084068586582.0775,1041186.1440597821,0.9020770388388923
"['Prec(mm)', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",700267.7432489301,1106311212513.6035,1051813.2973648906,0.9000678820178456
"['Prec(mm)', 'Vapor_pressure(hPa)', 'Snowfall(cm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",703740.9261169698,1077185441878.2736,1037875.4462257375,0.9026987872410133
"['Prec(mm)', 'Vapor_pressure(hPa)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",690574.1872869253,1075011299354.2319,1036827.5166845409,0.902895175621394
"['Prec(mm)', 'Vapor_pressure(hPa)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",747503.4252752326,1229133028088.0698,1108662.720617984,0.8889734955324342
"['Prec(mm)', 'Vapor_pressure(hPa)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",615483.9567565643,896668703636.5718,946925.9229932254,0.919004705304283
"['Prec(mm)', 'Vapor_pressure(hPa)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",698079.3930113927,1113300978491.8616,1055130.7873869769,0.899436502609858
"['Prec(mm)', 'Vapor_pressure(hPa)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",632875.2134811917,1011188827713.8688,1005578.8520617709,0.9086602033041438
"['Prec(mm)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",693275.1701962185,1090697099913.4454,1044364.4478406211,0.9014782910645012
"['Prec(mm)', 'Dew_Point(C)', 'sunshine(hr)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",700353.2138881381,1106498105381.7632,1051902.1367892371,0.9000510001495795
"['Prec(mm)', 'Dew_Point(C)', 'Snowfall(cm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",701772.1722850952,1070627065349.6257,1034711.1023612464,0.9032911996197536
"['Prec(mm)', 'Dew_Point(C)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",690302.8938112438,1073803742858.7708,1036245.0206677815,0.9030042531366623
"['Prec(mm)', 'Dew_Point(C)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",745605.4502617901,1225212523489.93,1106893.1852215596,0.8893276312617113
"['Prec(mm)', 'Dew_Point(C)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",614184.7563774424,891253554556.4299,944062.262012644,0.9194938509539399
"['Prec(mm)', 'Dew_Point(C)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",698034.9995338797,1113702753220.8884,1055321.161173644,0.8994002106522522
"['Prec(mm)', 'Dew_Point(C)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",633125.8523264298,1015354825064.1941,1007648.1653157485,0.9082838924306599
"['Prec(mm)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",681069.3204360362,1040937746326.785,1020263.567087831,0.9059730096726946
"['Prec(mm)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",683853.8514808465,1032069739327.7659,1015908.3321480171,0.9067740489387426
"['Prec(mm)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",675636.4368414457,1015701132284.3931,1007819.9900202382,0.9082526108043005
"['Prec(mm)', 'Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",721052.6184729347,1151384085619.19,1073025.6686674322,0.8959964890661749
"['Prec(mm)', 'Local Atmospheric Pressure(hPa)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",588134.9512376135,844967287589.2277,919221.0221645433,0.9236748487050253
"['Prec(mm)', 'Local Atmospheric Pressure(hPa)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",689463.3786225558,1088478400240.6221,1043301.6822763309,0.9016787042529093
"['Prec(mm)', 'Local Atmospheric Pressure(hPa)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",621900.1592297199,985632046124.9498,992790.0312376983,0.9109687248883961
"['Prec(mm)', 'sunshine(hr)', 'Snowfall(cm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",685831.4824099399,1022091905691.9268,1010985.6110212087,0.9076753378679557
"['Prec(mm)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",686980.2593403994,1061957083149.157,1030513.0193981816,0.9040743514800622
"['Prec(mm)', 'sunshine(hr)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",740009.0856505596,1207328237211.6665,1098784.891237437,0.8909431030983614
"['Prec(mm)', 'sunshine(hr)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",603846.5919468307,868107783539.0402,931723.0186804661,0.921584588075588
"['Prec(mm)', 'sunshine(hr)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",681357.6277126544,1044664096834.6497,1022088.1061995828,0.9056364117114855
"['Prec(mm)', 'sunshine(hr)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",588661.6576860211,881572726037.4384,938921.0435587426,0.9203683116723907
"['Prec(mm)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",676318.2407926869,988804554873.4343,994386.5218683499,0.9106821549657858
"['Prec(mm)', 'Snowfall(cm)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",732135.2722644584,1135241043207.5762,1065476.9088101236,0.8974546758771023
"['Prec(mm)', 'Snowfall(cm)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",594126.7756500083,793682577620.3724,890888.6449048346,0.9283073514125084
"['Prec(mm)', 'Snowfall(cm)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",685490.7285904532,1024226669661.3358,1012040.8438701157,0.9074825065177515
"['Prec(mm)', 'Snowfall(cm)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",615802.5131039156,924442776172.221,961479.4725693425,0.9164958977806105
"['Prec(mm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",723774.7131347631,1151903440788.0203,1073267.6463902283,0.8959495761709433
"['Prec(mm)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",602996.6048547722,855255300887.1576,924800.1410505718,0.9227455415199749
"['Prec(mm)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",678917.85254773,1030163354617.9653,1014969.6323624492,0.90694625099146
"['Prec(mm)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",583383.3248164583,843480481076.3481,918411.9343063592,0.9238091506285538
"['Prec(mm)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",607867.6174669105,901656840311.6432,949556.1280470171,0.9185541313092931
"['Prec(mm)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",723368.6077253043,1184211001348.9895,1088214.5934276886,0.8930312626646029
"['Prec(mm)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",663072.5663044286,1091374488720.8674,1044688.7042180878,0.9014171031298066
"['Prec(mm)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",573502.1277699514,829502991632.5034,910770.5482900199,0.9250717249461574
"['Prec(mm)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",561848.5247000984,816974235495.4365,903866.2708030633,0.9262034364594254
"['Prec(mm)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",630732.7890057366,1015844217677.0448,1007890.975094551,0.908239686026735
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",716142.8286030028,1151962035175.0781,1073294.9432355852,0.8959442833915389
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",693430.4088185964,1086573238982.6583,1042388.2381256316,0.9018507957922993
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",702302.4999600154,1101489607072.0261,1049518.750224133,0.9005034133931051
