features,mae,mse,rmse,r2
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",676501.6220944745,970067579449.2439,984920.0878493869,0.9123746494623973
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",581970.129210074,808039124271.9952,898909.9644969986,0.927010537190996
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",718710.8267369816,1118034853332.2854,1057371.6722762557,0.8990088958625747
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",587867.5052724102,823111923552.1051,907255.1590110166,0.9256490245000427
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",674760.5082017824,1018222473781.1302,1009070.1035017985,0.9080248602463424
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",576832.7571605517,822977522860.0458,907181.0860352225,0.9256611647962485
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",591968.0947454912,847722854835.8854,920718.6621524978,0.9234259407412571
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",702630.8755033613,1094059071695.382,1045972.7872633121,0.9011746071128562
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",621080.0638086322,942153710419.3784,970646.0273546574,0.9148960846803348
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",559035.3506701429,794301912470.6809,891236.1709842576,0.9282514074406573
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",525362.0976079949,744175069070.22,862655.8230663142,0.9327793210802438
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",597579.8376697691,894168844891.9562,945605.0152637496,0.9192305153441523
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",704792.0384421531,1021324014890.8577,1010605.7663059605,0.9077447007680709
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",578517.6703617917,748661840987.6921,865252.4723961742,0.9323740349224753
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",670027.3067266863,949846826310.2676,974600.8548684265,0.9142011722938717
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",574196.8778562704,762600778066.6423,873270.1632751701,0.9311149430060564
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",585097.083038999,769554370781.4398,877242.4811769206,0.9304868310971152
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",707307.6955858098,1051408778708.4215,1025382.2597979846,0.9050271705349178
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",648890.9195269591,971195355068.7368,985492.4429282737,0.912272778483427
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",556157.5761619529,721933937522.8944,849666.9568265524,0.9347883429148811
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",545260.7313916828,705898826322.774,840177.8539825804,0.936236780394482
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",620955.6884189169,929444980620.6094,964077.2690093929,0.9160440530560402
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",591484.88588366,838653354766.2762,915780.1891099612,0.9242451806990046
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",700165.6195625812,1079519151150.8419,1038999.1102743264,0.9024879853366987
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",606083.6510812808,886671446349.3855,941632.3307689608,0.9199077487548245
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",564652.1029635966,795609593901.7593,891969.5027868157,0.9281332857280908
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",510734.7153033826,693585563385.5906,832817.8452612496,0.9373490265966951
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",586948.6192951438,848665886077.0532,921230.6367447042,0.9233407575593573
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",573048.4763138322,819335873716.7963,905171.7371398625,0.9259901117577514
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",556884.7238454715,803864242604.1947,896584.7659893596,0.927387650577057
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",663080.7612268392,1074923091099.2205,1036784.9782376385,0.9029031433954227
"['Humidity', 'Vapor_pressure(hPa)', 'Dew_Point(C)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",543357.1989210988,781981155774.0956,884296.9839223108,0.9293643305475605
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",664880.6604507685,942977843591.1456,971070.4627323116,0.9148216414563826
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",701088.3878176378,1023191091996.3403,1011529.0860851903,0.9075760493366505
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",566076.9959880523,739521519976.528,859954.3708689014,0.9331996720735325
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",669842.8221439428,967454804990.8809,983592.8044627415,0.9126106590792941
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",581818.8635482019,813471044177.4072,901926.2964219456,0.9265198766474552
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",703369.9736275495,1071288865543.5872,1035030.8524597647,0.9032314197907908
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",571074.194506545,802244414188.646,895680.977909348,0.9275339682519594
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",668550.2335429701,1007307315851.671,1003647.0075936415,0.909010816853907
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",576510.0998027455,822452879832.0233,906891.8787992444,0.9257085553391462
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",577978.9527906282,828302604418.6755,910111.3143009901,0.9251801548665267
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",701287.5018402236,1090673112019.4086,1044352.963331559,0.9014804578698539
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",619173.3041574878,937009313938.1796,967992.4141945429,0.9153607734860625
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",559505.3911450052,800281869419.6904,894584.7469187536,0.9277112431933847
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",525522.1991246976,738019669913.3395,859080.7121064583,0.9333353328677182
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",595761.4987191868,892323385783.713,944628.70260421,0.9193972140409117
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",692697.3031340898,993805913028.9768,996898.1457646397,0.9102303866861033
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",563817.7432537355,728385843064.2463,853455.2378796713,0.9342055479667009
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",664254.6641385637,948328592204.1769,973821.6429121797,0.9143383130442304
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",571545.3712615436,760809955306.2343,872244.2062325403,0.93127670644961
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",570581.0422579162,750280184327.303,866187.1531760922,0.9322278513931751
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",701907.8712171462,1050867559496.5339,1025118.3148771336,0.9050760583899127
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",642471.4467287642,958295395351.4612,978925.6332078864,0.9134380204893386
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",558723.5366307916,730858580901.5122,854902.6733503131,0.9339821877345189
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",533050.0985999515,690483799586.4681,830953.5483927295,0.9376292061903037
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",616685.5104282541,916784370217.1263,957488.5744577459,0.9171876748491271
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",576368.282572421,804663453925.8276,897030.3528453358,0.9273154585218896
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",695413.6097986465,1061859565575.665,1030465.7032505571,0.9040831601566347
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",601664.7520586031,879491583937.4604,937812.1261411906,0.9205562994063305
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",564222.5308844077,796128007869.1627,892260.056188308,0.9280864578507556
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",510327.5537307248,696053119271.248,834297.9799036122,0.9371261344456403
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",582526.0863615297,841656353947.2991,917418.3091410913,0.9239739224264102
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",574866.781308493,828393656851.9596,910161.3356169112,0.9251719301803782
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",550164.1652744485,789121716668.8037,888325.2313588777,0.928719329967509
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",656490.1680244746,1051007341737.6194,1025186.4911993424,0.9050634319831204
"['Humidity', 'Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",544755.1674205584,778416154091.3855,882278.9548047633,0.9296863540114227
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",704988.8112267174,1022619078187.4421,1011246.2994678607,0.907627718840486
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",572717.9130148661,739620921491.8527,860012.163572035,0.9331906932221526
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",666876.367902992,938878158046.4663,968957.252951061,0.9151919624428343
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",564179.9469468384,739032219427.9209,859669.831637659,0.9332438701613753
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",576549.8723687872,756547298926.4885,869797.2746143141,0.9316617484481362
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",693722.4489754958,1001113924159.5203,1000556.8070627076,0.909570260473649
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",604142.111057432,849651541495.1534,921765.4481998951,0.9232517241730758
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",545832.7822993483,703401241124.8524,838690.1937693396,0.9364623850668798
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",512211.9127560359,656979733520.8147,810542.8634691781,0.9406555989856433
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",586673.0836455533,821043345514.6141,906114.4218665842,0.9258358773332777
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",585678.1314533661,834771716621.4692,913658.4244790113,0.9245958056557648
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",694037.9719056275,1062014277654.6089,1030540.7695256937,0.904069185150731
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",596348.861147385,867547603746.0626,931422.3551891283,0.9216351886231824
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",551152.6300210544,774792459815.4326,880222.9602864451,0.9300136791255676
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",503946.075227737,691042005886.4722,831289.3635109691,0.9375787839065923
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",578254.673755713,827630349399.2551,909741.9136212507,0.9252408790706701
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",557627.5094278668,794121572601.033,891134.9912336699,0.9282676973823362
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",527593.5752882982,749271389248.8761,865604.6379548091,0.932318974964605
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",624510.9481106853,957642370686.8093,978592.0348576363,0.9134970076324636
"['Humidity', 'Vapor_pressure(hPa)', 'sunshine(hr)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",517147.9534810622,741374704768.304,861031.1868732189,0.9330322755225804
"['Humidity', 'Vapor_pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",575613.713146596,746720751911.7491,864130.0549753776,0.9325493717900375
"['Humidity', 'Vapor_pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",688801.4057952674,980907478663.331,990407.733543782,0.9113954909083448
"['Humidity', 'Vapor_pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",592068.4051460722,795222135584.7268,891752.2837563843,0.9281682844968033
"['Humidity', 'Vapor_pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",549303.2344812566,700268328425.2996,836820.3680750723,0.9367453783132451
"['Humidity', 'Vapor_pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",494311.49934642256,606784776942.8091,778963.9124778562,0.9451896652286
"['Humidity', 'Vapor_pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",575935.26956762,771128611076.3241,878139.2891086949,0.9303446313570228
"['Humidity', 'Vapor_pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",556067.0481379417,721105964252.4768,849179.5830402877,0.9348631330115642
"['Humidity', 'Vapor_pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",542595.1665971461,705213330678.0061,839769.8081486415,0.9362987006126579
"['Humidity', 'Vapor_pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",651705.1510162656,977253581180.3969,988561.3694558354,0.9117255442515896
"['Humidity', 'Vapor_pressure(hPa)', 'Snowfall(cm)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",530682.8109201823,687078438048.68,828901.9471859625,0.9379368095004001
"['Humidity', 'Vapor_pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",565150.1022960123,800146825011.6691,894509.2649110288,0.9277234416358867
"['Humidity', 'Vapor_pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",512344.0616839776,702174287749.5903,837958.4045461864,0.9365732146852264
"['Humidity', 'Vapor_pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",608030.2194488314,896255547531.8011,946707.7413498852,0.9190420253315411
