longitude,latitude,time,d2m,t2m
126.4,34.74,2019-01-13 03:00:00,271.49936,278.44946
126.4,34.74,2019-01-13 04:00:00,271.36688,278.75726
126.4,34.74,2019-01-13 05:00:00,271.27502,279.3656
126.4,34.74,2019-01-13 06:00:00,271.30563,279.39243
126.4,34.74,2019-01-13 07:00:00,271.43576,279.26318
126.4,34.74,2019-01-13 08:00:00,271.72372,278.46042
126.4,34.74,2019-01-13 09:00:00,272.3491,278.14957
126.4,34.74,2019-01-13 10:00:00,272.76953,277.0128
126.4,34.74,2019-01-13 11:00:00,273.13226,276.8616
126.4,34.74,2019-01-13 12:00:00,273.30185,276.64767
126.4,34.74,2019-01-13 13:00:00,273.36426,276.43677
126.4,34.74,2019-01-13 14:00:00,273.31714,275.94547
126.4,34.74,2019-01-13 15:00:00,273.35718,275.673
126.4,34.74,2019-01-13 16:00:00,273.31363,275.57
126.4,34.74,2019-01-13 17:00:00,273.17407,275.25732
126.4,34.74,2019-01-13 18:00:00,273.07632,275.15125
126.4,34.74,2019-01-13 19:00:00,272.9986,274.9562
126.4,34.74,2019-01-13 20:00:00,272.78305,274.57037
126.4,34.74,2019-01-13 21:00:00,272.85843,274.51367
126.4,34.74,2019-01-13 22:00:00,271.5235,274.42346
126.4,34.74,2019-01-13 23:00:00,271.64246,274.39908
126.4,34.74,2019-01-14 00:00:00,271.60007,274.82513
126.4,34.74,2019-01-14 01:00:00,271.55826,275.62485
126.4,34.74,2019-01-14 02:00:00,272.05466,277.81006
126.4,34.74,2019-01-14 03:00:00,272.11414,278.71887
126.4,34.74,2019-01-14 04:00:00,272.11472,279.0852
126.4,34.74,2019-01-14 05:00:00,271.8468,279.80994
126.4,34.74,2019-01-14 06:00:00,272.07526,279.95807
126.4,34.74,2019-01-14 07:00:00,272.33554,279.76483
126.4,34.74,2019-01-14 08:00:00,272.48923,278.7719
126.4,34.74,2019-01-14 09:00:00,272.8814,277.93378
126.4,34.74,2019-01-14 10:00:00,273.14166,276.64767
126.4,34.74,2019-01-14 11:00:00,272.99976,276.13687
126.4,34.74,2019-01-14 12:00:00,272.72418,275.60718
126.4,34.74,2019-01-14 13:00:00,272.73654,275.5383
126.4,34.74,2019-01-14 14:00:00,272.9815,275.73154
126.4,34.74,2019-01-14 15:00:00,273.23236,276.05582
126.4,34.74,2019-01-14 16:00:00,273.4302,276.23624
126.4,34.74,2019-01-14 17:00:00,273.63217,276.4898
126.4,34.74,2019-01-14 18:00:00,273.59744,276.7976
126.4,34.74,2019-01-14 19:00:00,273.4991,277.103
126.4,34.74,2019-01-14 20:00:00,273.92957,277.61194
126.4,34.74,2019-01-14 21:00:00,274.11505,277.7625
126.4,34.74,2019-01-14 22:00:00,274.01376,277.6467
126.4,34.74,2019-01-14 23:00:00,274.0379,277.45163
126.4,34.74,2019-01-15 00:00:00,273.7223,277.71008
126.4,34.74,2019-01-15 01:00:00,272.90967,278.04532
126.4,34.74,2019-01-15 02:00:00,272.31668,278.92245
126.4,34.74,2019-01-15 03:00:00,272.10883,279.19064
126.4,34.74,2019-01-15 04:00:00,271.93158,279.36743
126.4,34.74,2019-01-15 05:00:00,271.7991,279.7441
126.4,34.74,2019-01-15 06:00:00,273.42255,279.2498
126.4,34.74,2019-01-15 07:00:00,273.8324,277.99048
126.4,34.74,2019-01-15 08:00:00,271.63892,276.52454
126.4,34.74,2019-01-15 09:00:00,270.284,275.993
126.4,34.74,2019-01-15 10:00:00,269.2641,275.1988
126.4,34.74,2019-01-15 11:00:00,268.65405,274.72153
126.4,34.74,2019-01-15 12:00:00,268.41556,274.27353
126.4,34.74,2019-01-15 13:00:00,268.17178,273.98154
126.4,34.74,2019-01-15 14:00:00,267.643,273.5811
126.4,34.74,2019-01-15 15:00:00,267.37918,273.5957
126.4,34.74,2019-01-15 16:00:00,267.26495,273.6719
126.4,34.74,2019-01-15 17:00:00,266.8233,273.4031
126.4,34.74,2019-01-15 18:00:00,266.69318,273.39334
126.4,34.74,2019-01-15 19:00:00,266.65726,273.3202
126.4,34.74,2019-01-15 20:00:00,266.47708,272.93008
126.4,34.74,2019-01-15 21:00:00,266.4323,272.60825
126.4,34.74,2019-01-15 22:00:00,266.57068,272.56253
126.4,34.74,2019-01-15 23:00:00,266.50122,272.41626
126.4,34.74,2019-01-16 00:00:00,266.55716,272.33032
126.4,34.74,2019-01-16 01:00:00,266.62546,272.52597
126.4,34.74,2019-01-16 02:00:00,266.79446,273.54938
126.4,34.74,2019-01-16 03:00:00,267.0035,273.97546
126.4,34.74,2019-01-16 04:00:00,267.16248,274.17233
126.4,34.74,2019-01-16 05:00:00,267.52463,274.82028
126.4,34.74,2019-01-16 06:00:00,267.6624,274.93732
126.4,34.74,2019-01-16 07:00:00,267.7331,274.9629
126.4,34.74,2019-01-16 08:00:00,267.75546,274.39786
126.4,34.74,2019-01-16 09:00:00,267.66888,274.3753
126.4,34.74,2019-01-16 10:00:00,267.9115,273.89316
126.4,34.74,2019-01-16 11:00:00,267.94565,273.8316
126.4,34.74,2019-01-16 12:00:00,267.94507,273.99557
126.4,34.74,2019-01-16 13:00:00,267.99277,274.19916
126.4,34.74,2019-01-16 14:00:00,268.26068,274.42957
126.4,34.74,2019-01-16 15:00:00,268.3443,274.63376
126.4,34.74,2019-01-16 16:00:00,268.31662,274.76297
126.4,34.74,2019-01-16 17:00:00,268.6346,274.97083
126.4,34.74,2019-01-16 18:00:00,268.74533,275.0964
126.4,34.74,2019-01-16 19:00:00,268.79715,275.16345
126.4,34.74,2019-01-16 20:00:00,268.93198,275.28046
126.4,34.74,2019-01-16 21:00:00,268.92786,275.3457
126.4,34.74,2019-01-16 22:00:00,269.00323,275.4542
126.4,34.74,2019-01-16 23:00:00,268.9791,275.6401
126.4,34.74,2019-01-17 00:00:00,268.98145,275.9223
126.4,34.74,2019-01-17 01:00:00,268.66052,276.1381
126.4,34.74,2019-01-17 02:00:00,268.594,276.97925
